RANK,STATE,VALUE
1,NEW YORK,1900
2,NEW JERSEY,1400
3,DISTRICT OF COLUMBIA,1100
4,CALIFORNIA,890
5,MASSACHUSETTS,890
6,MARYLAND,870
7,DELAWARE,860
8,PENNSYLVANIA,860
9,CONNECTICUT,850
10,ILLINOIS,800
11,OHIO,730
12,INDIANA,720
13,RHODE ISLAND,670
14,MINNESOTA,660
15,GEORGIA,650
16,MICHIGAN,640
17,VIRGINIA,620
18,LOUISIANA,590
19,WEST VIRGINIA,560
20,TEXAS,550
21,WISCONSIN,540
22,KENTUCKY,540
23,TENNESSEE,520
24,OREGON,520
25,FLORIDA,510
26,UTAH,500
27,WASHINGTON,490
28,NORTH CAROLINA,480
29,NEW HAMPSHIRE,470
30,MISSOURI,460
31,ARIZONA,440
32,COLORADO,440
33,ALABAMA,400
34,SOUTH CAROLINA,390
35,NEBRASKA,390
36,KANSAS,360
37,IOWA,340
38,NEVADA,340
39,ARKANSAS,330
40,OKLAHOMA,330
41,MISSISSIPPI,320
42,VERMONT,270
43,IDAHO,260
44,MAINE,240
45,NEW MEXICO,230
46,NORTH DAKOTA,200
47,SOUTH DAKOTA,190
48,MONTANA,180
49,WYOMING,140
